,filename,label
0,..\datasets\faces\cherp\cherp0.jpg,0
1,..\datasets\faces\cherp\cherp1.jpg,0
2,..\datasets\faces\cherp\cherp10.jpg,0
3,..\datasets\faces\cherp\cherp11.jpg,0
4,..\datasets\faces\cherp\cherp12.jpg,0
5,..\datasets\faces\cherp\cherp13.jpg,0
6,..\datasets\faces\cherp\cherp14.jpg,0
7,..\datasets\faces\cherp\cherp15.jpg,0
8,..\datasets\faces\cherp\cherp16.jpg,0
9,..\datasets\faces\cherp\cherp17.jpg,0
10,..\datasets\faces\cherp\cherp18.jpg,0
11,..\datasets\faces\cherp\cherp19.jpg,0
12,..\datasets\faces\cherp\cherp2.jpg,0
13,..\datasets\faces\cherp\cherp3.jpg,0
14,..\datasets\faces\cherp\cherp4.jpg,0
15,..\datasets\faces\cherp\cherp5.jpg,0
16,..\datasets\faces\cherp\cherp6.jpg,0
17,..\datasets\faces\cherp\cherp7.jpg,0
18,..\datasets\faces\cherp\cherp8.jpg,0
19,..\datasets\faces\cherp\cherp9.jpg,0
20,..\datasets\faces\phop\phop0.jpg,1
21,..\datasets\faces\phop\phop1.jpg,1
22,..\datasets\faces\phop\phop10.jpg,1
23,..\datasets\faces\phop\phop11.jpg,1
24,..\datasets\faces\phop\phop12.jpg,1
25,..\datasets\faces\phop\phop13.jpg,1
26,..\datasets\faces\phop\phop14.jpg,1
27,..\datasets\faces\phop\phop15.jpg,1
28,..\datasets\faces\phop\phop16.jpg,1
29,..\datasets\faces\phop\phop17.jpg,1
30,..\datasets\faces\phop\phop18.jpg,1
31,..\datasets\faces\phop\phop19.jpg,1
32,..\datasets\faces\phop\phop2.jpg,1
33,..\datasets\faces\phop\phop3.jpg,1
34,..\datasets\faces\phop\phop4.jpg,1
35,..\datasets\faces\phop\phop5.jpg,1
36,..\datasets\faces\phop\phop6.jpg,1
37,..\datasets\faces\phop\phop7.jpg,1
38,..\datasets\faces\phop\phop8.jpg,1
39,..\datasets\faces\phop\phop9.jpg,1
